prompt,category,style,notes
A majestic dragon flying over snow-capped mountains,fantasy,cinematic,High motion intensity recommended
A peaceful beach with gentle waves,nature,realistic,Low motion for calm effect
City skyline at night with bright lights,urban,timelapse,Medium motion for traffic
A dense forest path with morning mist,nature,atmospheric,Static camera with fog effects
Underwater coral reef with colorful fish,nature,vibrant,Medium motion for swimming
Northern lights dancing over frozen lake,nature,magical,High motion for aurora
Cherry blossoms falling in Japanese garden,nature,serene,Low motion for gentle falling
Autumn forest with red and orange leaves,nature,warm,Medium motion with camera pan
Starry night sky over mountain peaks,space,mystical,Low motion or static
Time-lapse of clouds moving over valley,nature,dynamic,High motion for cloud movement
